Mouse.ID	Measurement	Type
M17	396.28	villus (um)
M17	402.74	villus (um)
M17	457.03	villus (um)
M17	379.52	villus (um)
M17	365.27	villus (um)
M20	398.65	villus (um)
M20	409.56	villus (um)
M20	447.49	villus (um)
M20	373.1	villus (um)
M20	396.26	villus (um)
M20	351.2	villus (um)
M20	400.26	villus (um)
M20	394.13	villus (um)
M20	486.52	villus (um)
M20	531.22	villus (um)
M20	361.93	villus (um)
M20	451.72	villus (um)
M20	361.07	villus (um)
M20	417.76	villus (um)
M20	415.26	villus (um)
M20	425.69	villus (um)
M20	371.51	villus (um)
M20	402.8	villus (um)
M20	423.94	villus (um)
M20	384.12	villus (um)
M20	411.32	villus (um)
M12	365.68	villus (um)
M12	452.27	villus (um)
M12	434.72	villus (um)
M12	391.85	villus (um)
M12	526.15	villus (um)
M12	430.78	villus (um)
M12	405.12	villus (um)
M12	330.14	villus (um)
M12	269.38	villus (um)
M12	555.72	villus (um)
M12	450.66	villus (um)
M12	498.06	villus (um)
M12	475.12	villus (um)
M12	377.73	villus (um)
M12	366.82	villus (um)
M12	445.78	villus (um)
M12	395.33	villus (um)
M12	439.05	villus (um)
M12	458.90	villus (um)
M12	475.40	villus (um)
M12	491.23	villus (um)
M12	401.10	villus (um)
M12	358.60	villus (um)
M15	255.31	villus (um)
M15	148.57	villus (um)
M15	173.56	villus (um)
M15	234.02	villus (um)
M15	203.15	villus (um)
M15	231.95	villus (um)
M15	320.92	villus (um)
M15	286.55	villus (um)
M18	462.88	villus (um)
M18	478.24	villus (um)
M18	396.15	villus (um)
M18	483.39	villus (um)
M18	454.39	villus (um)
M18	405.13	villus (um)
M18	436.37	villus (um)
M18	462.99	villus (um)
M18	419.29	villus (um)
M18	420.02	villus (um)
M18	394.54	villus (um)
M18	390.09	villus (um)
M18	413.54	villus (um)
M18	364.97	villus (um)
M18	336.24	villus (um)
M18	482.78	villus (um)
M18	434.67	villus (um)
M18	432.87	villus (um)
M18	407.85	villus (um)
M18	454.97	villus (um)
M18	341.01	villus (um)
M18	337.58	villus (um)
M18	339.09	villus (um)
M18	307.61	villus (um)
M19	419.75	villus (um)
M19	339.13	villus (um)
M19	397.98	villus (um)
M19	386.40	villus (um)
M19	324.83	villus (um)
M19	335.02	villus (um)
M19	337.60	villus (um)
M19	405.98	villus (um)
M19	438.37	villus (um)
M19	366.21	villus (um)
M19	327.04	villus (um)
M19	324.21	villus (um)
M19	350.57	villus (um)
M19	333.21	villus (um)
M19	407.92	villus (um)
M19	335.56	villus (um)
M19	311.99	villus (um)
M21	353.70	villus (um)
M21	405.41	villus (um)
M21	409.69	villus (um)
M21	320.74	villus (um)
M21	339.66	villus (um)
M21	331.08	villus (um)
M21	420.78	villus (um)
M21	414.48	villus (um)
M21	433.64	villus (um)
M21	326.09	villus (um)
M21	373.89	villus (um)
M21	397.96	villus (um)
M21	379.24	villus (um)
M21	413.99	villus (um)
M21	348.54	villus (um)
M21	345.38	villus (um)
M21	406.98	villus (um)
M21	437.82	villus (um)
M21	375.57	villus (um)
