Mouse ID	Sample ID	Measurement	Type	Donor
M10	M10.S.INT1	92.66	crypt	US.D1
M10	M10.S.INT1	98.3	crypt	US.D1
M10	M10.S.INT1	109.48	crypt	US.D1
M10	M10.S.INT1	115.14	crypt	US.D1
M10	M10.S.INT1	94.89	crypt	US.D1
M10	M10.S.INT1	83.03	crypt	US.D1
M10	M10.S.INT1	112.43	crypt	US.D1
M10	M10.S.INT1	82.81	crypt	US.D1
M10	M10.S.INT1	90.96	crypt	US.D1
M10	M10.S.INT1	100.44	crypt	US.D1
M10	M10.S.INT1	97.55	crypt	US.D1
M10	M10.S.INT1	81.36	crypt	US.D1
M10	M10.S.INT1	106.08	crypt	US.D1
M10	M10.S.INT1	113.36	crypt	US.D1
