	CS.079	CS.145	CS.146	CS.165	CS.166	CS.177	CS.178	CS.181	CS.222	CS.248	CS.249	CS.255	CS.256	CS.262	CS.268	CS.275	CS.290	CS.308.0	CS.311	CS.312	CS.325	CS.326	CS.335	CS.358	CS.360	CS.369	CS.370	CS.391	CS.393	L.002.M1	L.002.M6.0	L.003.M1	L.003.M6	L.022.M1	L.022.M6	L.024.M1	L.024.M6	L.031.M1	L.031.M6	L.034.M6	T.CS.008	T.CS.018	T.CS.030	T.CS.042	T.CS.051	T.CS.061	T.CS.065	T.CS.069	T.CS.070	T.CS.071	T.CS.073	T.CS.081	T.CS.084	T.CS.087	T.CS.089
CS.262	0.419468997226	0.628481684455	0.403055849164	0.525157023905	0.429249976468	0.382321882804	0.560921970765	0.397517857234	0.492112514449	0.603426057319	0.482047205163	0.284326365367	0.404534577067	0.0	0.786212826663	0.475611449274	0.384766258691	0.494555792596	0.6218022288	0.394572858534	0.590790812852	0.373375005409	0.533413712409	0.369461638794	0.448661871302	0.474150022882	0.420863068962	0.529759926371	0.685421862316	0.655320333269	0.494380308744	0.818383503188	0.647405261077	0.640059178515	0.685328662699	0.71161863508	0.792078251601	0.627922378573	0.787963569422	0.567886916237	0.658760222642	0.567888956091	0.547859714422	0.650423366702	0.642025584118	0.619312075161	0.615452722251	0.522288535046	0.578483022076	0.604177086111	0.635007643139	0.725415519316	0.621420701256	0.596878380751	0.414783796749
CS.268	0.709507318358	0.803679993739	0.734760715336	0.787284953113	0.704928853677	0.701890164663	0.766120261762	0.631751729392	0.763299792153	0.637358183054	0.655190364315	0.783357117005	0.674789781304	0.786212826663	0.0	0.770800198239	0.75122510668	0.792460342855	0.779745525991	0.673223086987	0.719533908248	0.757384619578	0.826270827257	0.841122576254	0.768085096164	0.739149607126	0.694394763205	0.60253340389	0.741748267385	0.85217878281	0.710355772323	0.873097752501	0.860069810605	0.791562539657	0.832127691242	0.846419676358	0.872586332364	0.763191247347	0.809629071674	0.67631503881	0.817171095993	0.741577462694	0.810333069273	0.792045711933	0.838446113293	0.651263833638	0.791007171477	0.751965206691	0.799189643337	0.802451535832	0.839245485444	0.832581427998	0.747996282043	0.817441928504	0.685419567421
CS.275	0.552605738844	0.680344605757	0.487130026825	0.618336896656	0.532250955546	0.507575901786	0.645307264654	0.488914356267	0.489234266681	0.650406433939	0.572320691208	0.420368885437	0.625839180174	0.475611449274	0.770800198239	0.0	0.395917979664	0.520656208411	0.62275270193	0.51381751526	0.626943482371	0.520017323635	0.564543007431	0.611310269467	0.438542601903	0.536540951409	0.465809709961	0.517911660366	0.654874129441	0.737046863694	0.580739405462	0.846922823248	0.789244330362	0.697867304919	0.725067772467	0.76834194824	0.818512710735	0.623335577819	0.771735098217	0.56888238608	0.694198293411	0.607103248435	0.663680853582	0.72867803603	0.771302664793	0.629587490787	0.690067462731	0.619568758017	0.627075800732	0.666211805166	0.763296750451	0.772446502421	0.670641223552	0.756933567999	0.557822373559
CS.290	0.449953837004	0.704977102209	0.551867356644	0.6727021308	0.550304803559	0.53542773993	0.646289395307	0.585395034874	0.498725285008	0.665979768303	0.467076882968	0.426142871537	0.50571341843	0.384766258691	0.75122510668	0.395917979664	0.0	0.480052597176	0.689905776476	0.523608321252	0.565637735051	0.487147111482	0.501738270153	0.493028288546	0.478405517095	0.486835961986	0.50315838323	0.631124812572	0.697225483357	0.675698306722	0.472616852721	0.840813512648	0.753406143121	0.696666726245	0.72215642201	0.761656448108	0.800094893657	0.637666862392	0.802794383198	0.583862854745	0.699644116451	0.624757233143	0.676264111229	0.719074993618	0.775395372215	0.673873392047	0.702711215087	0.638386392542	0.63024480129	0.673469980496	0.757503547674	0.772471620764	0.712129665056	0.744629522046	0.573348064284
CS.308.0	0.386910443182	0.761831532256	0.626035011808	0.695288389209	0.594748749845	0.582984916002	0.657770736882	0.573455889862	0.424208274314	0.665546093127	0.520048224682	0.570853614222	0.602921188736	0.494555792596	0.792460342855	0.520656208411	0.480052597176	0.0	0.740530379212	0.537141269465	0.61731595417	0.48994907319	0.443531115481	0.457852701109	0.712861413557	0.460370191039	0.574766248722	0.598382246163	0.691329955348	0.838976986435	0.53633952953	0.866130959212	0.833481382387	0.804881012222	0.798023370563	0.825997510475	0.792593101089	0.689719487962	0.864692106723	0.682824440285	0.705583761922	0.633971653319	0.706475442548	0.799344698102	0.822453403652	0.704282383437	0.780646518265	0.69750161487	0.724278499702	0.759024850128	0.81192248577	0.83104170913	0.738032626047	0.799282595717	0.613961529908
CS.311	0.614265245822	0.370500972733	0.539744526794	0.599552558651	0.630609372775	0.611067555019	0.631916353567	0.581965948582	0.705303892633	0.683292610415	0.706631900233	0.561464642464	0.645499234966	0.6218022288	0.779745525991	0.62275270193	0.689905776476	0.740530379212	0.0	0.620674506741	0.78415522389	0.689985949565	0.798660741609	0.744606668475	0.587507574171	0.772434148038	0.55150713434	0.673277223617	0.419631252397	0.744848600815	0.636156223604	0.413329296653	0.51234661562	0.555202982675	0.589573065297	0.473714166192	0.545609030481	0.665908241439	0.777727399494	0.613192754967	0.35086998064	0.383824140297	0.500168536021	0.313410894029	0.445443736892	0.421956409126	0.371620362329	0.420972588103	0.36774287879	0.276699474415	0.374733479179	0.367393694727	0.328346460969	0.372056586296	0.527199433919
CS.312	0.5009661812	0.617095148706	0.413511818988	0.53982513974	0.356377616365	0.412099617695	0.497457042875	0.44486187038	0.497476204586	0.500885765942	0.457153002432	0.37196856356	0.423092434658	0.394572858534	0.673223086987	0.51381751526	0.523608321252	0.537141269465	0.620674506741	0.0	0.579314174912	0.458250160919	0.66025345682	0.529709870273	0.566474791286	0.513659476976	0.420311705206	0.521575939351	0.65758395074	0.749643877365	0.481067295662	0.798065223989	0.726632766844	0.670733032961	0.710098653833	0.774893433288	0.745155685863	0.572917207114	0.767172759582	0.486517572266	0.662760158226	0.51222489737	0.612852004267	0.638487509283	0.740265846877	0.538639822643	0.587640670643	0.547364490336	0.597275464212	0.627439934867	0.734332527951	0.729536626367	0.605220650071	0.669701362933	0.414469079782
CS.325	0.63821406346	0.776545884692	0.659552205239	0.719692364457	0.571796540312	0.485580269682	0.617984270999	0.533118175745	0.521567406017	0.692533205715	0.475930102367	0.595982522121	0.656358435836	0.590790812852	0.719533908248	0.626943482371	0.565637735051	0.61731595417	0.78415522389	0.579314174912	0.0	0.58828407522	0.589528719677	0.575272969659	0.734673564659	0.54244574362	0.585371272167	0.71295834381	0.705133670114	0.758684593232	0.589688289853	0.874161725883	0.751464295033	0.824759506927	0.807390439414	0.803691672636	0.79905614191	0.709293406102	0.846450159677	0.673840358584	0.727591657193	0.666626036206	0.763499211084	0.81400760207	0.848066118325	0.776062750165	0.813815584644	0.723162433913	0.74582720674	0.777725217813	0.845862255604	0.855942725226	0.769505870778	0.819910496413	0.633762253693
CS.326	0.455660072794	0.67253551211	0.487701310373	0.610909062159	0.497596952566	0.463627285554	0.639771693288	0.486778196679	0.505919461102	0.592823830054	0.446127951871	0.424643709972	0.493364166496	0.373375005409	0.757384619578	0.520017323635	0.487147111482	0.48994907319	0.689985949565	0.458250160919	0.58828407522	0.0	0.570973154999	0.457756464387	0.600091509029	0.517569594344	0.494002061174	0.563617298948	0.626012843217	0.768490024831	0.479491334533	0.847193501137	0.746358065772	0.705277898001	0.757639032875	0.739775801463	0.654556028155	0.555644574825	0.617765682058	0.615664551436	0.674983567648	0.555368102702	0.599485217981	0.673774585705	0.642699171758	0.645796129427	0.658513697206	0.563962571986	0.603499568764	0.657455184472	0.727896589224	0.762403359425	0.67118968637	0.686646765444	0.512902791635
CS.335	0.477053449267	0.81671488083	0.688717391948	0.678054065393	0.676706445866	0.584388392102	0.711783620571	0.638798118448	0.433400845824	0.793253083746	0.572193620945	0.61286657976	0.581498298246	0.533413712409	0.826270827257	0.564543007431	0.501738270153	0.443531115481	0.798660741609	0.66025345682	0.589528719677	0.570973154999	0.0	0.567634993243	0.726689377445	0.491684981172	0.653572880645	0.622036741485	0.764142391441	0.641704999999	0.604035910386	0.878408771151	0.873812943854	0.80937124101	0.792136657446	0.796133015378	0.82995991285	0.71980402024	0.846358973116	0.658417092181	0.765095074829	0.689604175594	0.783815730952	0.810644808763	0.842329323876	0.77557522357	0.810409709861	0.718065455964	0.732571078295	0.759084165254	0.833691602118	0.860879041429	0.796609919376	0.810812963897	0.710297726337
