	PD_whole_tree	chao1	observed_otus
CS.072	60.49675	925.0	925.0
CS.074	37.00448	450.0	450.0
CS.075	36.09565	475.0	475.0
CS.076	37.00323	500.0	500.0
CS.077	41.06009	562.0	562.0
CS.078	35.94329	538.0	538.0
CS.079	35.93186	516.0	516.0
CS.080	37.6519	569.0	569.0
CS.082	53.92367	747.0	747.0
CS.083	51.54528	696.0	696.0
CS.084	47.52087	623.0	623.0
CS.085	48.00702	652.0	652.0
CS.086	43.58627	586.0	586.0
CS.087	34.55868	424.0	424.0
CS.088	25.51212	321.0	321.0
CS.089	40.14801	558.0	558.0
CS.090	41.9287	517.0	517.0
CS.091	37.64983	542.0	542.0
CS.092	51.12286	656.0	656.0
CS.093	44.98215	566.0	566.0
CS.094	26.00907	338.0	338.0
CS.095	46.25356	649.0	649.0
CS.096	41.12638	603.0	603.0
CS.097	39.1619	543.0	543.0
CS.098	48.68024	664.0	664.0
CS.099	40.71492	523.0	523.0
CS.101	45.01367	587.0	587.0
CS.102	38.39975	512.0	512.0
CS.103	44.77057	602.0	602.0
CS.104	41.35587	582.0	582.0
CS.105	48.66109	686.0	686.0
CS.106	43.42202	591.0	591.0
CS.108	40.18324	475.0	475.0
CS.109	51.18238	677.0	677.0
CS.110	36.60499	519.0	519.0
CS.111	45.74332	601.0	601.0
CS.112	33.73562	462.0	462.0
CS.113	35.63425	477.0	477.0
CS.114	45.58173	621.0	621.0
CS.115	34.79739	498.0	498.0
CS.117	40.90192	516.0	516.0
CS.118	34.05476	419.0	419.0
CS.119	36.96603	520.0	520.0
CS.120	42.96536	591.0	591.0
CS.122	36.92553	447.0	447.0
CS.123	35.30376	448.0	448.0
CS.124	29.0286	414.0	414.0
CS.130	44.48122	614.0	614.0
CS.131	48.8902	728.0	728.0
CS.132	38.23819	490.0	490.0
CS.133	37.21514	504.0	504.0
CS.135	37.39701	580.0	580.0
CS.136	42.21145	605.0	605.0
CS.137	65.07114	1207.0	1207.0
CS.138	50.20169	836.0	836.0
CS.139	33.43353	561.0	561.0
CS.140	54.63971	918.0	918.0
CS.141	47.69312	714.0	714.0
CS.142	45.78198	745.0	745.0
CS.143	42.07457	598.0	598.0
CS.151	47.33319	714.0	714.0
CS.153	45.82633	638.0	638.0
CS.154	22.95432	316.0	316.0
CS.155	54.04337	852.0	852.0
CS.156	25.98697	328.0	328.0
CS.158	33.31021	442.0	442.0
CS.159	51.27886	817.0	817.0
CS.160	40.52274	582.0	582.0
CS.161	35.09124	507.0	507.0
CS.163	37.48281	520.0	520.0
CS.164	28.11673	325.0	325.0
CS.165	30.56486	450.0	450.0
CS.167	33.15687	419.0	419.0
CS.168	49.53725	689.0	689.0
CS.169	46.37527	624.0	624.0
CS.170	34.9101	441.0	441.0
CS.171	38.37139	457.0	457.0
CS.172	37.17521	476.0	476.0
CS.173	34.42793	425.0	425.0
CS.174	53.51065	822.0	822.0
CS.175	29.9243	375.0	375.0
CS.176	45.66005	696.0	696.0
CS.188	40.66039	694.0	694.0
CS.190	50.27739	754.0	754.0
CS.191	51.22081	757.0	757.0
CS.193	46.37317	730.0	730.0
CS.194	34.1412	611.0	611.0
CS.196	40.38715	638.0	638.0
CS.198	42.23981	643.0	643.0
CS.199	33.82877	461.0	461.0
CS.200	51.83668	738.0	738.0
CS.203	43.17534	687.0	687.0
CS.205	35.68368	574.0	574.0
CS.213	34.16045	560.0	560.0
CS.217	44.47421	585.0	585.0
CS.218	44.78855	584.0	584.0
CS.219	42.50206	552.0	552.0
CS.220	30.4386	388.0	388.0
CS.222	34.28594	543.0	543.0
CS.224	29.75965	471.0	471.0
CS.227	25.57803	357.0	357.0
CS.228	38.32964	524.0	524.0
CS.229	35.70243	530.0	530.0
CS.230	33.51582	494.0	494.0
CS.231	40.54289	620.0	620.0
CS.232	53.40676	754.0	754.0
CS.233	43.79108	550.0	550.0
CS.235	44.46116	634.0	634.0
CS.236	28.53236	334.0	334.0
CS.237	40.53468	554.0	554.0
CS.238	42.95008	597.0	597.0
CS.239	43.39031	591.0	591.0
CS.240	41.184	557.0	557.0
CS.241	44.72351	593.0	593.0
CS.247	42.32598	589.0	589.0
CS.248	46.00483	722.0	722.0
CS.249	39.05166	572.0	572.0
CS.251	36.38722	466.0	466.0
CS.259	47.70788	720.0	720.0
CS.260	39.85592	591.0	591.0
CS.269	27.46357	381.0	381.0
CS.274	41.02682	670.0	670.0
CS.275	48.70457	800.0	800.0
CS.282	40.99355	667.0	667.0
CS.283	33.73841	469.0	469.0
CS.284	36.49899	560.0	560.0
CS.285	32.56428	484.0	484.0
CS.286	35.05813	489.0	489.0
CS.290	42.70416	749.0	749.0
CS.292	43.2388	625.0	625.0
CS.293	50.86964	736.0	736.0
CS.294	19.64424	216.0	216.0
CS.295	45.48969	714.0	714.0
CS.296	51.21213	756.0	756.0
CS.297	47.82804	750.0	750.0
CS.298	43.06083	616.0	616.0
CS.300	50.65849	824.0	824.0
CS.301	53.21855	913.0	913.0
CS.302	31.49732	498.0	498.0
CS.305	55.35669	874.0	874.0
CS.308.0	33.36519	463.0	463.0
CS.311	34.4069	470.0	470.0
CS.312	40.65039	597.0	597.0
CS.318	45.85254	776.0	776.0
CS.319	41.29405	707.0	707.0
CS.321	39.18478	561.0	561.0
CS.322	41.91394	709.0	709.0
CS.325	28.70683	478.0	478.0
CS.328	21.13657	290.0	290.0
CS.332	46.40658	705.0	705.0
CS.333	43.64257	776.0	776.0
CS.334	41.19587	690.0	690.0
CS.335	32.7446	521.0	521.0
CS.339	33.39341	505.0	505.0
CS.341	42.45324	735.0	735.0
CS.343	41.17502	744.0	744.0
CS.345.0	26.40712	327.0	327.0
CS.346	30.1642	397.0	397.0
CS.347.0	33.28193	475.0	475.0
CS.350	44.55003	673.0	673.0
CS.351	49.39223	858.0	858.0
CS.356	35.48176	547.0	547.0
CS.357	44.04572	644.0	644.0
CS.358	27.74671	463.0	463.0
CS.360	44.20585	700.0	700.0
CS.362	38.90022	608.0	608.0
CS.365	41.39316	597.0	597.0
CS.366	30.03193	451.0	451.0
CS.379	36.23193	582.0	582.0
CS.380	57.10906	944.0	944.0
CS.382	44.65216	776.0	776.0
CS.388	31.55598	521.0	521.0
IMP000.L.T02	54.16482	955.0	955.0
IMP000.L.T03	45.08006	784.0	784.0
IMP000.L.T04	46.46912	775.0	775.0
IMP000.L.T05	51.74231	886.0	886.0
IMP000.L.T06	54.6197	938.0	938.0
IMP000.L.T09	45.91601	813.0	813.0
IMP000.L.T10	49.46944	887.0	887.0
IMP000.L.T17	45.44938	753.0	753.0
IMP000.L.T18	46.43812	777.0	777.0
IMP000.L.T19	44.47872	745.0	745.0
IMP000.L.T20	47.55811	793.0	793.0
IMP000.L.T26	68.44571	1309.0	1309.0
IMP000.L.T27	42.42291	706.0	706.0
IMP000.L.T28	48.09246	807.0	807.0
IMP000.L.T29	51.52774	862.0	862.0
IMP000.L.T30	43.38458	741.0	741.0
IMP000.L.T36	46.42843	775.0	775.0
IMP000.L.T37	43.15978	718.0	718.0
IMP000.L.T38	42.92711	734.0	734.0
IMP000.L.T39	46.37725	799.0	799.0
IMP000.L.T40	42.265	703.0	703.0
L.004.M1	52.76446	780.0	780.0
L.004.M2	49.4929	699.0	699.0
L.004.M3	56.70013	860.0	860.0
L.004.M4	56.15636	900.0	900.0
L.004.M5	50.37794	744.0	744.0
L.004.M6	53.73178	812.0	812.0
L.005.M1	46.33581	711.0	711.0
L.005.M2	47.85369	741.0	741.0
L.005.M3	49.07317	728.0	728.0
L.005.M4	50.41036	767.0	767.0
L.005.M5	47.5373	697.0	697.0
L.005.M6	43.20135	609.0	609.0
L.006.M1	45.53955	677.0	677.0
L.006.M2	50.86489	737.0	737.0
L.006.M3	56.14001	841.0	841.0
L.006.M4	52.03627	758.0	758.0
L.006.M5	55.46348	862.0	862.0
L.006.M6	67.66006	1062.0	1062.0
L.007.M1	48.88751	729.0	729.0
L.007.M2	59.20816	918.0	918.0
L.007.M4	56.10511	834.0	834.0
L.007.M5	60.53466	900.0	900.0
L.007.M6	62.57379	941.0	941.0
L.008.M1	36.88077	605.0	605.0
L.008.M2	34.79798	499.0	499.0
L.008.M3	31.14508	470.0	470.0
L.008.M4	47.45054	781.0	781.0
L.008.M5	49.89308	833.0	833.0
L.008.M6	43.16782	724.0	724.0
L.012.M1	47.7704	696.0	696.0
L.012.M2	45.68856	646.0	646.0
L.012.M3	47.09243	687.0	687.0
L.012.M4	43.88495	618.0	618.0
L.012.M5	49.37699	745.0	745.0
L.012.M6	49.49957	733.0	733.0
L.025.M1	32.74868	442.0	442.0
L.025.M2	37.60792	651.0	651.0
L.025.M3	40.26209	704.0	704.0
L.025.M4	38.56889	665.0	665.0
L.025.M5	44.87112	793.0	793.0
L.025.M6	44.61626	762.0	762.0
T.CS.003	54.36175	872.0	872.0
T.CS.004	46.89106	778.0	778.0
T.CS.007	39.80675	631.0	631.0
T.CS.008	36.08893	581.0	581.0
T.CS.009	56.14932	850.0	850.0
T.CS.013	49.31418	794.0	794.0
T.CS.014	48.98659	744.0	744.0
T.CS.018	47.35683	785.0	785.0
T.CS.020	61.10027	859.0	859.0
T.CS.023	31.21842	439.0	439.0
T.CS.030	38.41784	630.0	630.0
T.CS.042	53.83347	844.0	844.0
T.CS.043	43.0896	690.0	690.0
T.CS.045	40.07542	564.0	564.0
T.CS.047	49.49706	836.0	836.0
T.CS.049	44.62339	768.0	768.0
T.CS.051	49.63565	756.0	756.0
T.CS.061	46.64274	743.0	743.0
T.CS.065	47.68752	735.0	735.0
T.CS.067	46.60978	734.0	734.0
T.CS.069	59.84238	988.0	988.0
T.CS.070	45.91918	693.0	693.0
T.CS.071	56.98107	908.0	908.0
T.CS.073	52.66475	857.0	857.0
T.CS.081	49.58514	865.0	865.0
T.CS.084	39.47315	662.0	662.0
T.CS.087	37.75588	600.0	600.0
T.CS.088	41.69889	646.0	646.0
T.CS.089	50.58797	778.0	778.0
T.CS.090	32.68221	406.0	406.0
T.CS.092	52.98784	782.0	782.0
T.CS.093	50.7898	723.0	723.0
T.CS.094	42.9853	617.0	617.0
T.CS.095	52.92399	743.0	743.0
T.CS.096	52.73536	727.0	727.0
T.CS.097	49.16707	705.0	705.0
T.CS.098	52.26804	737.0	737.0
T.CS.099	50.59184	716.0	716.0
T.CS.100	49.74957	713.0	713.0
T.CS.133	65.7342	1041.0	1041.0
T.CS.134	50.49524	706.0	706.0
T.CS.135	43.22587	713.0	713.0
T.CS.136	46.77251	717.0	717.0
T.CS.137	57.63047	771.0	771.0
T.CS.138	54.78704	846.0	846.0
T.CS.139	61.40092	979.0	979.0
T.CS.140	48.7894	791.0	791.0
T.CS.141	38.02239	564.0	564.0
T.CS.142	42.45561	643.0	643.0
T.CS.143	51.50089	836.0	836.0
T.CS.144	47.39786	722.0	722.0
T.CS.145	62.51481	1071.0	1071.0
T.CS.146	48.67367	762.0	762.0
T.CS.147	54.03838	784.0	784.0
T.CS.148	52.68217	811.0	811.0
T.CS.149	48.32418	659.0	659.0
T.CS.150	54.7013	872.0	872.0
T.CS.151	47.6371	753.0	753.0
