	PD_whole_tree	chao1	observed_otus
CS.073	22.92046	233.0	233.0
CS.074	27.80716	287.0	287.0
CS.075	23.99666	256.0	256.0
CS.076	27.57512	294.0	294.0
CS.077	28.17756	312.0	312.0
CS.078	23.26116	241.0	241.0
CS.079	20.19125	202.0	202.0
CS.080	26.15458	303.0	303.0
CS.082	39.97583	487.0	487.0
CS.083	37.12355	426.0	426.0
CS.084	35.51216	401.0	401.0
CS.085	36.08481	417.0	417.0
CS.086	33.8462	380.0	380.0
CS.087	25.15175	271.0	271.0
CS.088	18.21111	183.0	183.0
CS.089	32.35533	386.0	386.0
CS.090	29.96091	310.0	310.0
CS.091	23.18164	237.0	237.0
CS.092	36.62477	410.0	410.0
CS.093	34.23393	387.0	387.0
CS.094	17.77414	176.0	176.0
CS.095	33.82941	386.0	386.0
CS.096	27.54412	294.0	294.0
CS.097	23.94904	239.0	239.0
CS.098	31.05513	332.0	332.0
CS.099	31.92815	358.0	358.0
CS.101	29.26304	303.0	303.0
CS.102	28.59011	309.0	309.0
CS.103	31.41621	348.0	348.0
CS.104	29.3916	317.0	317.0
CS.105	32.92991	359.0	359.0
CS.106	35.32284	419.0	419.0
CS.108	29.92914	289.0	289.0
CS.109	38.15563	429.0	429.0
CS.110	25.64373	290.0	290.0
CS.111	32.59805	347.0	347.0
CS.112	27.37232	305.0	305.0
CS.113	24.20995	238.0	238.0
CS.114	28.58792	311.0	311.0
CS.115	23.55843	235.0	235.0
CS.117	30.37464	326.0	326.0
CS.118	27.87831	293.0	293.0
CS.119	25.75867	264.0	264.0
CS.120	31.41353	358.0	358.0
CS.122	30.05934	322.0	322.0
CS.123	26.30472	274.0	274.0
CS.124	19.14585	185.0	185.0
CS.130	30.80213	335.0	335.0
CS.131	34.92596	413.0	413.0
CS.132	30.09122	331.0	331.0
CS.133	26.28399	287.0	287.0
CS.135	21.61831	219.0	219.0
CS.136	29.47878	329.0	329.0
CS.143	28.39971	313.0	313.0
CS.153	33.91713	396.0	396.0
CS.154	13.98965	118.0	118.0
CS.156	18.69861	181.0	181.0
CS.157	12.19564	101.0	101.0
CS.158	26.75775	279.0	279.0
CS.160	29.01785	324.0	324.0
CS.161	22.99218	250.0	250.0
CS.163	26.08661	275.0	275.0
CS.164	20.99566	202.0	202.0
CS.165	18.71186	190.0	190.0
CS.167	24.17352	246.0	246.0
CS.168	36.12753	430.0	430.0
CS.169	34.33669	391.0	391.0
CS.170	27.25775	279.0	279.0
CS.171	29.13479	309.0	309.0
CS.172	29.12273	307.0	307.0
CS.173	25.3854	274.0	274.0
CS.175	20.41381	204.0	204.0
CS.176	27.58924	299.0	299.0
CS.199	25.11652	275.0	275.0
CS.200	37.6082	456.0	456.0
CS.217	31.66963	320.0	320.0
CS.218	32.45702	367.0	367.0
CS.219	30.65921	319.0	319.0
CS.220	23.43296	245.0	245.0
CS.227	14.74629	140.0	140.0
CS.228	28.40914	331.0	331.0
CS.229	22.52623	241.0	241.0
CS.231	23.38846	249.0	249.0
CS.232	36.29775	421.0	421.0
CS.233	32.51568	353.0	353.0
CS.235	31.79871	353.0	353.0
CS.236	19.4831	180.0	180.0
CS.237	28.51275	322.0	322.0
CS.238	28.08952	320.0	320.0
CS.239	33.66951	383.0	383.0
CS.240	25.26167	260.0	260.0
CS.241	28.42481	284.0	284.0
CS.247	30.14095	315.0	315.0
CS.248	26.8907	299.0	299.0
CS.249	25.64311	263.0	263.0
CS.251	28.0458	304.0	304.0
CS.284	24.51663	279.0	279.0
CS.285	18.57884	184.0	184.0
CS.286	24.81851	259.0	259.0
CS.292	30.87411	332.0	332.0
CS.298	28.59331	311.0	311.0
CS.308.0	22.56515	220.0	220.0
CS.311	25.20932	262.0	262.0
CS.312	23.09039	243.0	243.0
CS.345.0	17.37071	168.0	168.0
CS.346	18.92076	191.0	191.0
CS.347.0	21.81007	223.0	223.0
L.001.M1	27.47579	269.0	269.0
L.002.M1	19.38486	195.0	195.0
L.003.M1	17.18234	182.0	182.0
L.004.M1	34.79582	406.0	406.0
L.005.M1	33.54898	391.0	391.0
L.006.M1	29.44166	315.0	315.0
L.007.M1	20.35673	198.0	198.0
L.008.M1	27.94161	295.0	295.0
L.011.M1	26.19314	284.0	284.0
L.012.M1	30.21029	318.0	318.0
L.022.M1	33.99631	364.0	364.0
L.024.M1	28.41757	306.0	306.0
L.025.M1	32.37397	358.0	358.0
