	PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.091	82.26171	566.157894737	383.0	5.98927620775	0.971806446929
CS.247	114.40791	979.054545455	529.0	6.76551108855	0.982583866861
CS.328	34.6247	272.55	178.0	4.53522324866	0.920813373059
CS.358	46.06896	377.020408163	282.0	4.7910807183	0.912571407086
CS.284	87.62311	731.323076923	458.0	6.04702855127	0.968078381189
CS.169	125.23467	1111.03225806	685.0	6.55835826836	0.958728013878
CS.004	84.80343	647.306122449	410.0	6.33125554213	0.973639096984
CS.249	92.27837	850.0	463.0	5.9083122206	0.965859063222
CS.066	91.23268	839.31884058	487.0	6.04942165091	0.966167069891
CS.076	92.10532	545.444444444	391.0	5.74140791547	0.962961847936
CS.131	131.26688	1036.06756757	642.0	7.24346031289	0.986594436276
CS.229	87.04933	740.85	451.0	6.19417135059	0.969289105671
CS.124	63.34198	774.375	336.0	5.93017393437	0.97368868974
L.005.M3	128.37267	1173.27631579	663.0	6.58325453177	0.960720086816
CS.151	100.497	682.381818182	454.0	6.56867101151	0.977516459609
CS.248	104.26777	887.52173913	532.0	6.77744226587	0.983670823382
CS.085	132.79115	901.756097561	629.0	7.20790359142	0.98521040294
CS.037	71.65406	639.46875	361.0	5.82519946674	0.961392681276
CS.138	103.39927	1000.01886792	642.0	6.52541222527	0.973389149494
CS.203	98.16947	975.816326531	608.0	5.9387483515	0.953280447359
CS.017	99.25584	941.121621622	560.0	5.72717872626	0.927179980863
L.006.M4	113.67448	921.967391304	605.0	6.33229935216	0.969987773603
CS.297	104.80305	979.436170213	624.0	6.21831439855	0.96344390249
L.025.M2	91.31617	952.012345679	592.0	6.50271772329	0.974171612977
CS.305	123.4737	1026.59139785	639.0	6.50534056262	0.965883736428
T.CS.140	116.04289	1120.19090909	707.0	6.50433941809	0.969534994982
CS.259	111.71094	986.154761905	576.0	6.24977435176	0.965796997726
L.007.M1	116.02469	1057.0	628.0	6.48489088586	0.973252986586
CS.046	127.68567	1039.01	665.0	6.78167338393	0.973966292484
T.CS.144	108.34192	823.28	539.0	6.49221882373	0.968231126877
T.CS.147	140.55807	1186.96460177	774.0	7.21769942318	0.983938377921
L.004.M6	123.50809	909.146067416	626.0	6.62999604685	0.968848903514
CS.109	130.36579	770.580645161	555.0	6.64707826358	0.964138564105
CS.335	47.96347	377.090909091	253.0	5.12770525635	0.945638469457
CS.227	57.20722	471.0	306.0	5.34724179105	0.950323604077
CS.285	66.96044	554.133333333	341.0	5.63437216892	0.964277903542
CS.308.0	80.09591	658.203125	398.0	5.17134329257	0.931273697558
CS.108	97.3038	588.918367347	396.0	5.37545297123	0.915861085829
T.CS.020	113.64931	766.632653061	470.0	6.85878215068	0.984570325769
CS.135	80.72044	665.903846154	412.0	6.2020489942	0.972414058671
CS.283	71.22844	433.965517241	280.0	5.76741015478	0.963734652177
CS.302	52.38674	467.024390244	278.0	5.24985977702	0.95013941723
CS.059	119.92749	1071.22535211	597.0	6.8651264678	0.982151690303
CS.093	130.34029	841.067567568	564.0	6.73966575014	0.976402936928
L.012.M2	117.20249	905.52173913	569.0	6.881334017	0.982201957261
T.CS.137	132.94666	630.637931034	477.0	6.9881718497	0.984985387964
CS.039	109.71197	985.533333333	587.0	6.45083989952	0.969700861682
CS.205	62.67056	512.474576271	379.0	5.78475239088	0.959185408191
CS.063	79.04077	540.136363636	364.0	5.99740327622	0.961713108824
CS.235	116.42739	802.469879518	553.0	6.74903668718	0.977413423365
CS.191	118.88863	1021.61363636	612.0	6.5876800271	0.972730583626
CS.027	111.3297	733.139240506	513.0	6.01735214745	0.952970638495
CS.028	126.94481	1018.10958904	612.0	6.83768857069	0.979907582441
CS.176	106.49122	1086.93902439	614.0	6.3132721933	0.963168166767
CS.077	103.80246	906.461538462	578.0	5.92012035629	0.949006381583
CS.049	85.34126	765.381818182	425.0	5.58788976075	0.936439992117
CS.065	91.89702	900.678571429	539.0	6.1733411866	0.968367743575
CS.083	144.35873	1051.30769231	664.0	6.84970307977	0.980142840103
CS.322	72.7235	698.222222222	412.0	6.00556785205	0.968794902513
CS.025	96.50781	636.411764706	426.0	6.03053281348	0.950562193854
T.CS.095	132.44037	1135.22580645	697.0	6.8952072369	0.978279215644
CS.236	74.32607	567.44	296.0	5.4665950985	0.951792483164
T.CS.133	142.7139	1092.93269231	690.0	6.924018443	0.982271309327
CS.120	112.85449	804.915492958	533.0	6.44617933161	0.969132820421
T.CS.014	105.37488	713.278688525	475.0	6.23810427968	0.966829525388
CS.035	118.63777	958.696202532	571.0	6.28736051213	0.963384404148
CS.260	92.07212	680.0	425.0	5.96404456608	0.963035037768
T.CS.150	137.92932	1226.34285714	779.0	6.80449153802	0.969490640259
L.005.M1	112.96038	1045.45631068	647.0	6.51410077632	0.967530189995
CS.357	111.3564	1173.38983051	685.0	6.0944425307	0.961639737476
CS.193	82.73211	692.344262295	437.0	6.31245397105	0.976085167293
CS.200	148.91778	989.75	716.0	7.62979077223	0.989293099022
T.CS.138	141.65635	1085.91304348	719.0	6.67174514605	0.973695081695
CS.080	93.26562	805.0	478.0	6.16828928241	0.972758796394
CS.173	106.08128	1049.51388889	571.0	6.26342162097	0.964595906556
CS.153	122.05774	926.708333333	586.0	6.81739615258	0.980906918611
CS.213	63.91634	580.25	329.0	5.69132821629	0.960724508027
CS.362	68.43375	502.55	345.0	5.46705655553	0.942990138497
CS.086	128.46285	924.717647059	604.0	6.65964376022	0.973259456334
CS.011	139.87112	945.08	597.0	6.81658895554	0.974712271257
CS.199	85.81736	696.386363636	400.0	6.23976989752	0.974358341048
T.CS.100	118.01559	714.212765957	489.0	7.06039936293	0.984446778221
L.006.M2	112.28745	747.943661972	503.0	6.23162761744	0.966874580244
CS.231	94.11732	648.846153846	469.0	6.5931484449	0.981093802267
CS.096	100.28944	895.5125	540.0	6.59450765327	0.978880124261
CS.219	113.37603	685.515151515	483.0	6.20653667239	0.961430112462
CS.232	142.73492	964.934579439	681.0	7.18672930172	0.984579220052
CS.103	118.87737	959.765625	573.0	6.97829218264	0.982204602208
CS.112	82.6327	566.595744681	377.0	5.88989262413	0.957713430367
T.CS.009	110.05102	892.451219512	560.0	6.0146727881	0.947777868536
CS.339	60.68338	664.216216216	329.0	5.40355678953	0.951324042309
T.CS.089	103.17946	871.325	545.0	6.17650927802	0.957875018476
CS.319	73.06982	704.303571429	423.0	5.80445171256	0.955358481074
CS.136	105.4536	865.8	507.0	6.51305724168	0.976696551975
CS.057	106.48502	787.651515152	504.0	6.35982566313	0.972038022409
CS.158	90.26702	595.438596491	402.0	6.19917576238	0.974361919505
CS.296	121.91162	1079.55555556	665.0	6.61905467356	0.975472382345
CS.089	126.29297	912.923076923	636.0	6.76888771149	0.972433571638
CS.036	95.51147	670.593220339	455.0	6.55065822335	0.978053059711
CS.101	122.79898	1058.89534884	624.0	6.74064248107	0.976029091824
L.007.M2	134.47141	1006.49462366	661.0	6.85303305835	0.977171942299
CS.026	117.62311	914.029411765	582.0	6.99196602446	0.982409365187
L.006.M6	149.35055	1073.3627451	704.0	7.15148297859	0.983801501915
L.007.M5	138.31618	931.467532468	610.0	6.95266506261	0.977791728577
CS.110	86.35696	567.892307692	389.0	5.77649316879	0.960175383323
L.012.M5	116.36924	804.571428571	568.0	6.59179637421	0.975288999354
CS.175	69.87329	520.039473684	373.0	4.93924747573	0.930413156277
L.008.M6	85.19343	675.567567568	486.0	6.27108368148	0.970900591483
CS.088	69.46694	927.944444444	436.0	5.6499308431	0.956768691607
L.008.M5	86.54096	693.114754098	474.0	6.56284658998	0.975912065885
T.CS.096	141.16992	1057.96341463	641.0	6.71979089974	0.974651969059
T.CS.098	132.30856	1047.375	573.0	6.62092972653	0.977930860567
CS.098	129.04559	997.918604651	636.0	7.00097867592	0.983771227644
L.025.M1	74.66001	723.6	387.0	6.10929680088	0.972693437679
CS.240	94.21921	868.690140845	501.0	5.99230656887	0.960170145291
CS.282	69.94363	692.23255814	366.0	5.6788933295	0.960574887006
CS.292	111.53478	869.539473684	520.0	6.13435858343	0.964528758612
L.025.M5	95.88721	970.413793103	604.0	6.72725511515	0.980801211489
CS.300	97.79526	775.342465753	500.0	6.45530081962	0.978557674106
CS.074	102.64966	1009.72727273	552.0	5.87118091352	0.943793800452
CS.341	66.91072	537.015384615	383.0	5.5402789751	0.949878202784
CS.047	74.60342	727.278688525	414.0	5.68845954386	0.956698457892
TFSCS026	82.70009	758.857142857	503.0	6.11947934213	0.962278090245
CS.356	51.22005	455.651162791	284.0	5.50419538274	0.964515313465
L.005.M6	116.56006	1067.51351351	609.0	6.20520328663	0.95963175596
T.CS.030	85.31379	775.896551724	509.0	6.15224535888	0.969247655203
TFSCS029	75.9566	675.921875	427.0	5.87806700513	0.966448471506
CS.388	57.37014	598.395833333	340.0	5.57226897938	0.961485643383
CS.102	107.64982	1170.29577465	576.0	6.00791840992	0.953560850636
T.CS.084	93.79236	958.11	603.0	6.33159023689	0.96470580151
L.004.M2	141.04165	1155.08547009	751.0	6.55679357556	0.959171340703
CS.165	76.85235	788.14084507	455.0	5.8218130532	0.964067319087
L.008.M2	70.72129	651.0	365.0	5.67939690318	0.949113437109
L.011.M1	100.11629	898.468085106	570.0	6.29673888781	0.971162895024
CS.038	77.55388	866.559322034	473.0	5.9845874854	0.958043828327
L.007.M4	133.32015	865.62962963	615.0	6.83801170931	0.972799806037
L.005.M5	111.86549	1039.53719008	686.0	6.20461629924	0.951773203575
CS.230	57.94378	478.214285714	268.0	5.3235147134	0.936411092182
CS.118	96.80445	723.623376623	483.0	5.86045150641	0.957307599555
CS.333	79.2024	738.924242424	464.0	6.39925897251	0.976728589543
CS.052	122.19058	970.697368421	587.0	6.35691332012	0.968504010206
CS.274	72.91862	642.448275862	412.0	5.87294422271	0.958080442692
L.025.M3	92.14266	957.142857143	624.0	6.61636262102	0.974217303139
CS.332	104.57759	1010.40776699	623.0	6.43009758844	0.973394828351
CS.295	95.21777	893.246153846	481.0	5.83133615068	0.957703991536
T.CS.135	81.63288	634.225352113	439.0	6.00509392403	0.969591420518
CS.269	43.76	323.7	221.0	5.083137991	0.941643290003
T.CS.149	110.75701	684.607142857	443.0	4.6830749513	0.830233585122
CS.163	86.61904	692.5	415.0	5.51470011437	0.953685215006
CS.154	43.26934	395.384615385	220.0	4.73288456966	0.933455363927
CS.094	75.12173	861.961538462	485.0	5.21253545106	0.919500143916
L.008.M4	88.02416	772.452054795	516.0	6.36522227647	0.973228909789
CS.251	104.43768	850.010989011	553.0	6.09744756518	0.953871567079
CS.345.0	57.53858	439.279069767	276.0	4.71219654596	0.919062884911
