	PD_whole_tree	chao1	observed_otus	shannon	simpson
L.012.M5	17.0	5.0	5.0	1.40554950348	0.515206460656
L.033.M4	31.0	7.0	7.0	2.31801610331	0.751335903443
L.036.M4	25.0	6.0	6.0	1.74673407555	0.614687345907
T.CS.070	15.0	3.0	3.0	1.42645233012	0.592427004888
T.CS.078	25.0	6.0	6.0	1.47917651314	0.497137829305
CS.257	25.0	6.0	6.0	2.18161032205	0.7439774129
L.004.M3	32.0	8.0	8.0	2.27412318831	0.72376021092
L.006.M2	25.0	6.0	6.0	2.10489403865	0.727797866805
L.007.M5	38.0	8.0	8.0	2.03718121279	0.708273656318
TFS.027	15.0	3.0	3.0	1.05498414761	0.403245149912
CS.208	20.0	4.0	4.0	1.88305694283	0.710771952275
CS.112	49.0	11.0	11.0	2.85430013861	0.810288773229
L.031.M1	36.0	9.0	9.0	2.52256559367	0.775610837812
CS.025	27.0	6.0	6.0	2.11940294314	0.739683413664
CS.267	60.0	17.0	17.0	2.86516815015	0.808489938063
T.CS.100	34.0	10.0	10.0	2.43957961847	0.726609737383
T.CS.160	38.0	9.0	9.0	2.20424644016	0.683934021538
T.CS.060	20.0	5.0	5.0	2.0135464229	0.717376485535
CS.254	46.0	11.0	11.0	3.1243291066	0.865477451375
CS.074	36.0	8.0	8.0	2.54448422858	0.798831440485
CS.084	22.0	5.0	5.0	1.79545456422	0.621917796842
CS.087	25.0	6.0	6.0	1.94457063754	0.682793209877
CS.093	26.0	6.0	6.0	1.9922035017	0.706166303332
CS.109	33.0	9.0	9.0	2.83568795574	0.836107409648
CS.140	20.0	5.0	5.0	2.0142012748	0.706998118785
CS.244	23.0	6.0	6.0	1.85385912352	0.673452933982
L.022.M1	23.0	6.0	6.0	1.89081816716	0.679934375
L.032.M3	20.0	4.0	4.0	1.59330255744	0.618121190602
L.032.M5	23.0	5.0	5.0	2.00873409791	0.734176891168
L.033.M3	30.0	6.0	6.0	2.13175308184	0.726290378918
L.033.M5	29.0	6.0	6.0	2.20898273775	0.76180227203
L.034.M5	28.0	6.0	6.0	2.35992523762	0.784748763878
T.CS.088	22.0	5.0	5.0	2.01338803449	0.696053727613
CS.259	34.0	8.0	8.0	2.76996254121	0.841169213569
CS.295	25.0	7.0	7.0	2.20838009261	0.722782088658
CS.296	25.0	7.0	7.0	2.04140675594	0.671656829636
L.002.M5	35.0	8.0	8.0	2.47172820899	0.78748267942
L.002.M6.0	30.0	7.0	7.0	2.48821373289	0.792143958714
L.022.M5	22.0	5.0	5.0	2.08109153664	0.748919765303
T.CS.020	25.0	6.0	6.0	2.24288288759	0.740190733858
T.CS.081	28.0	7.0	7.0	2.25889185909	0.722998203706
TFS.020	22.0	5.0	5.0	1.95634296275	0.694452285767
CS.010	30.0	7.0	7.0	2.50750262661	0.80617764327
CS.021	21.0	5.0	5.0	1.68095846494	0.642687836135
CS.118	62.0	17.0	17.0	3.39219150883	0.882111340882
CS.346	15.0	3.0	3.0	1.21514081664	0.488147154768
L.022.M6	15.0	3.0	3.0	1.04489403177	0.456494703486
L.024.M1	24.0	5.0	5.0	2.15281556188	0.754035029951
L.024.M5	24.0	5.0	5.0	1.45605512498	0.525619024501
L.031.M0	19.0	5.0	5.0	1.63924694218	0.565442603666
L.034.M4	18.0	4.0	4.0	1.9748607285	0.741883211396
T.CS.023	19.0	5.0	5.0	1.56324827262	0.55361534502
T.CS.095	28.0	7.0	7.0	2.00941201044	0.658774709161
T.CS.161	41.0	9.0	9.0	1.88912471455	0.661012327303
TFS.029	19.0	4.0	4.0	1.7925658873	0.679133207851
CS.070	34.0	8.0	8.0	2.53694034766	0.788423775698
CS.051	29.0	8.0	8.0	2.51985852111	0.791196695255
CS.062	28.0	7.0	7.0	2.63990607418	0.824885500282
CS.130	27.0	6.0	6.0	2.20155421809	0.747260051243
L.025.M1	22.0	5.0	5.0	2.07147515009	0.726077987756
CS.294	24.0	5.0	5.0	2.09035931803	0.743070836874
CS.136	25.0	5.0	5.0	2.02500259593	0.72163160655
CS.151	18.0	4.0	4.0	1.89619902695	0.712451523546
CS.373	15.0	3.0	3.0	1.35442801611	0.575493561985
CS.387	23.0	5.0	5.0	1.82229822659	0.661417205906
CS.194	26.0	6.0	6.0	2.26079798204	0.764920139976
CS.339	25.0	5.0	5.0	2.15578718731	0.763359619442
CS.342	25.0	5.0	5.0	2.15578718731	0.763359619442
CS.205	29.0	6.0	6.0	1.82856538211	0.63894978696
CS.219	27.0	7.0	7.0	2.61299372386	0.815435366164
L.034.M6	19.0	4.0	4.0	1.9162301689	0.718011045722
T.CS.050	23.0	5.0	5.0	2.04241430557	0.719851901904
T.CS.051	15.0	3.0	3.0	1.37365862863	0.56145472895
T.CS.080	22.0	5.0	5.0	2.1449649723	0.745732080517
T.CS.064	15.0	3.0	3.0	1.32709933176	0.567880263481
CS.132	10.0	2.0	2.0	0.113808788088	0.0300161212959
CS.038	13.0	3.0	3.0	1.43967734936	0.597248
CS.064	20.0	4.0	4.0	1.82620840243	0.691422168918
T.CS.090	20.0	4.0	4.0	1.41632721244	0.534841781595
CS.251	24.0	5.0	5.0	1.41466060716	0.505870343866
L.006.M5	18.0	4.0	4.0	1.60117152844	0.595759410394
T.CS.003	15.0	3.0	3.0	1.07369231815	0.423550751304
T.CS.045	20.0	4.0	4.0	1.67918283952	0.64928664506
CS.088	15.0	3.0	3.0	1.2189104993	0.496979166667
CS.092	32.0	7.0	7.0	2.45316203993	0.78434099048
L.006.M4	18.0	4.0	4.0	1.65482999034	0.628657375346
T.CS.028	23.0	5.0	5.0	1.54708399698	0.517600847423
