#Taxonomy	CS.219	CS.295	CS.025	CS.230	CS.142	CS.238	CS.333	CS.036	CS.111	L.007.M1	CS.104	CS.365	T.CS.141	CS.351	CS.379	CS.138	CS.070	T.CS.007	T.CS.144	CS.346	CS.119	CS.300	CS.169	CS.130	CS.290	CS.360	TFSCS020	T.CS.092	CS.191	T.CS.147	T.CS.093	T.CS.073	TFSCS025	CS.343	L.006.M5	T.CS.100	CS.302	T.CS.008	CS.193	CS.196	IMP000.L.T36	T.CS.047	T.CS.137	CS.113	TFSCS028	CS.003	T.CS.009	CS.190	CS.159	CS.205	L.025.M2	IMP000.L.T30	T.CS.133	L.008.M5	IMP000.L.T05	TFSCS021	T.CS.042	CS.163	IMP000.L.T03	L.005.M5	CS.099	CS.274	CS.139	L.012.M1	IMP000.L.T26	IMP000.L.T40	T.CS.084	CS.151	CS.269	TFSCS024	L.008.M4	T.CS.096	L.006.M3	CS.334	L.012.M3	IMP000.L.T27	T.CS.098	CS.033	CS.282	CS.335	T.CS.049	CS.011	L.004.M6	L.005.M6	CS.137	CS.001	L.005.M4	L.006.M2	CS.141	T.CS.020	L.006.M6	CS.296	CS.092	L.007.M6	T.CS.149	T.CS.097	L.004.M3	L.006.M1	L.007.M4	L.012.M6	CS.260	L.025.M6	L.004.M4	CS.109	CS.007	CS.366	T.CS.139	T.CS.014	T.CS.069	T.CS.081	CS.297	T.CS.090	IMP000.L.T19	T.CS.071	T.CS.003	TFSCS027	T.CS.087	CS.098	L.025.M5	T.CS.018	IMP000.L.T17	L.012.M2	IMP000.L.T02	CS.047	CS.083	CS.009	CS.042	IMP000.L.T18	L.007.M2	CS.140	TFSCS023	L.008.M6	CS.231	CS.341	CS.322	IMP000.L.T20	CS.321	CS.155	T.CS.143	T.CS.140	IMP000.L.T29	CS.213	CS.029	CS.060	L.008.M1	CS.203	TFSCS026	T.CS.099	T.CS.043	CS.135	CS.318	IMP000.L.T10	T.CS.051	T.CS.061	TFSCS022	L.025.M4	CS.380	T.CS.136	T.CS.145	CS.061	CS.101	CS.068	CS.293	CS.382	T.CS.150	CS.136	T.CS.030	CS.015	CS.305	T.CS.065	CS.112	CS.004	IMP000.L.T28	CS.167	CS.198	L.025.M1	CS.339	T.CS.151	CS.123	CS.168	CS.091	L.011.M1	CS.176	CS.008	T.CS.067	CS.037	CS.158	CS.072	CS.218	CS.132	CS.161	CS.030	IMP000.L.T09	CS.118	CS.057	CS.085	CS.020	T.CS.094	CS.053	IMP000.L.T04	T.CS.095	CS.096	CS.078	T.CS.138	CS.013	CS.059	CS.240	CS.117	CS.019	T.CS.135	T.CS.142	IMP000.L.T39	CS.022	CS.143	CS.052	CS.110	CS.040	CS.362	T.CS.013	CS.106	CS.174	CS.056	CS.347.0	CS.028	CS.093	L.012.M5	L.005.M2	CS.350	CS.058	CS.357	L.004.M2	CS.188	CS.105	T.CS.134	T.CS.148	CS.165	CS.012	CS.016	CS.051	CS.021	L.008.M3	CS.328	CS.115	CS.356	L.008.M2	CS.063	T.CS.045	CS.044	CS.055	CS.065	CS.102	CS.259	CS.108	CS.251	CS.064	CS.045	CS.071	CS.062	CS.199	CS.032	CS.073	CS.046	CS.131	CS.089	L.006.M4	CS.002	CS.235	CS.075	CS.332	T.CS.088	T.CS.146	CS.172	CS.090	CS.027	CS.275	L.007.M5	T.CS.004	CS.229	CS.005	CS.124	L.005.M3	CS.283	CS.031	CS.024	L.012.M4	CS.082	L.004.M1	CS.311	CS.301	CS.077	CS.249	IMP000.L.T06	CS.080	CS.170	L.005.M1	CS.156	CS.247	CS.345.0	CS.076	CS.285	CS.097	CS.079	CS.286	CS.194	CS.222	CS.358	CS.026	IMP000.L.T37	CS.067	CS.227	CS.388	CS.319	T.CS.023	CS.043	T.CS.070	L.004.M5	CS.312	CS.154	CS.241	CS.114	CS.224	CS.018	CS.122	CS.233	IMP000.L.T38	CS.173	TFSCS029	CS.088	CS.284	CS.200	CS.232	CS.039	CS.103	CS.237	CS.160	CS.153	CS.157	CS.038	CS.120	CS.308.0	L.025.M3	CS.239	CS.175	CS.294	CS.298	CS.325	T.CS.089	CS.023	CS.084	CS.171	CS.074	CS.035	CS.006	CS.248	CS.292	CS.066	CS.087	CS.094	CS.050	CS.049	CS.086	CS.010	CS.217	CS.095	CS.041	CS.220	CS.236	CS.017	CS.133	CS.014	CS.228	CS.164	UMGC.H2O.A01	UMGC.H2O.H11	UMGC.H20.Blank.001.H05	UMGC.H20.Blank.021.G12	UMGC.H20.Blank.020.A06
k__Bacteria;p__Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Elusimicrobia	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	461	0	0	417	0	1	0	1	2	0	0	0	0	1	0	0	56	0	0	0	2	994	0	0	0	0	0	0	0	0	2075	0	0	1	0	0	0	0	11	0	0	0	0	0	1	0	943	0	1	1	232	31	1	0	1	0	1206	0	0	26	1	0	0	0	1408	1236	0	1	0	0	21	1	0	0	0	3	714	7	0	0	1	1	2	0	0	5	0	2655	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	5	0	0	0	66	2653	0	0	0	21	0	0	0	0	1	906	0	1	0	24	0	0	0	0	0	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	53	1	0	0	18	1	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	1	153	0	0	5153	130	0	251	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	4425	0	0	0	0	0	0	0	0	0	0	1	369	0	67	0	7	0	0	0	0	0	30	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1207	1541	0	0	29	0	0	0	0	0	0	3	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	6	0	2	0	0	0	26	75	0	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes	13588	36595	22511	19462	39806	17212	48852	17390	20200	33395	17315	21671	27491	38402	37822	38963	11846	38662	26065	21773	13421	42053	13456	19235	41232	21382	39916	18912	32826	18235	23151	37917	85940	39896	28178	21130	42949	33154	30654	42724	27503	46499	25175	16607	50166	9806	28516	37051	25284	23565	30678	26909	33572	34893	39257	15767	27227	14513	37527	28095	7039	32292	34841	29693	194907	18440	34891	18750	22230	44525	39314	12849	19909	39591	24874	25900	23780	15320	34083	40066	45164	15735	26562	17349	189157	20558	29559	32301	17451	24911	34218	21117	10563	33901	8302	17651	15432	22406	24736	24361	26826	33526	40730	16765	22394	16464	40896	23897	43981	40225	30375	13702	36598	42841	44134	51009	28012	19724	49375	27733	40624	23481	40474	16499	14247	25146	13775	25730	41505	39867	43013	29685	15112	45807	30697	28777	20372	35590	32831	33600	32142	23332	25093	18287	31660	25987	36639	16965	36915	16369	44505	45295	28020	30513	34330	27650	45735	34166	156020	13641	12910	20530	34864	40857	20179	16045	36252	11332	36066	23518	20879	16231	23753	10280	26487	16619	30091	34936	11583	14625	16082	18360	16107	16640	39161	11705	20776	24848	16152	21557	17600	13641	40159	13813	12715	15070	19979	21232	20503	34865	21942	19542	16409	27013	17792	19965	14280	18451	16884	36977	36893	27084	14924	17541	10482	22965	15025	28109	39978	21540	25600	15794	18760	13813	15565	26456	30846	20188	17882	32311	15053	31615	21437	21574	19564	19951	17236	18442	19077	17662	34947	24410	22652	31066	32180	20002	21638	22978	31465	17493	18216	27396	11816	10668	21169	15089	23859	16014	16007	12194	4471	16062	17036	15212	34837	18696	16075	15221	39823	29619	27588	14161	23356	11484	44986	33119	30807	13986	18779	17644	25251	17585	15290	18715	19892	16331	26222	11852	26413	10885	13224	48145	18853	9306	33666	14581	13427	10940	16227	17442	14538	15841	16347	44479	32435	27370	9669	22339	13873	16810	40041	30558	28942	12935	20495	27899	16718	17499	13006	17854	23100	13540	10900	14907	29952	10433	20113	12723	15429	17128	15552	9793	14626	16931	15698	13875	4860	15912	24090	12678	29281	12333	11698	10690	19654	35526	29295	15658	13219	11790	12447	12191	13739	15026	16280	11427	11743	10407	17274	10523	15182	2585	16910	14882	17099	8808	14623	13476	17772	22721	24144	17469	203	102	7	2	16
k__Bacteria;p__Fusobacteria	4	0	0	3	1	11	60	0	27	261	1	1	4	4	11349	3	60	1	0	45	0	2897	1	3	2	0	632	1	1450	0	3	1	162	12	2	3	4	3	4	1211	0	1138	33	0	0	11	10	295	34	0	88	0	42	1358	47	29	0	22	1	18	0	1270	11820	7	11	0	27	4	5710	73	5	8	1	0	0	0	201	18	721	11146	3680	12	5	3	14	0	1	1	0	4	6	0	2	107	1	0	4	0	2	1	52	47	0	3	7	2	3	1	4	1	2	2	5	9	163	42	311	5	26	6546	2	1	1	0	11	22	2	3	11	0	13	2	828	4656	9	3	1	11	77	10	1	9	1	0	2	0	0	26	782	946	1	11	10	0	2004	25	1	11	6379	0	1	0	3	0	0	16	13	0	1	5	56	0	0	3	2830	24	0	2	3	56	0	631	1	3	302	1	9	8	317	77	23	0	4	12	361	8	0	1188	447	3	2	6	39	5	6	9	9	81	3	239	326	31	219	0	181	2	0	3	2823	65	4	0	825	133	6	1	1	169	3	8	0	1	21	20	16	858	7	0	0	866	3	7202	258	19892	3	356	8	5	2	0	2	2	0	148	2	1	0	0	5	0	0	0	102	0	1	2	0	0	7	6089	2	91	3	2	233	5	2421	1123	10	0	0	2	3	0	0	888	6	3	0	2	1	5	559	0	1	185	0	1784	678	5	113	1	3	51	2507	362	49	7	2	5	4262	0	9700	2	2	1	5	931	0	1	1	1	2	7	7	0	0	0	40	141	89	0	0	39	7	159	2	0	18	4309	39	100	1	147	0	1027	0	2	40	4	433	23	91	31	1	0	8	678	12	0	3	19	8	7	134	0	0	0	13	7	0	18	1	0	0	0	0
k__Bacteria;p__Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Lentisphaerae	133	8	6	0	0	0	21	15	51	0	0	0	0	34	0	148	0	3	13	0	50	92	9	0	0	9	17	743	9	1	9	10	1	0	20	0	0	0	32	0	0	49	396	9	6	2	55	0	40	1	0	0	465	20	0	0	22	2	0	0	0	1	0	0	0	0	0	182	0	0	1	69	64	0	0	0	11	1	0	0	1	306	9	0	48	39	0	1	17	1	288	6	2	12	3	2	46	0	9	0	27	0	140	3	0	0	5	122	73	82	49	0	0	4	14	0	0	1	0	0	0	0	0	1	5	0	7	0	13	26	34	0	5	0	0	0	1	140	0	0	0	0	0	0	0	0	0	3	4	51	0	0	7	0	23	0	47	1	1	0	6	0	0	0	3	20	0	0	2	7	6	0	1	1	9	0	0	1	0	2	0	0	15	0	10	0	3	5	0	9	0	12	0	7	0	6	0	1	2	0	46	0	0	3	3	16	0	3	1	0	0	0	0	0	0	0	0	3	1	3	109	24	0	1	2	0	0	0	4	0	129	0	1	145	1	0	0	0	0	1	0	0	0	0	0	0	13	0	0	36	0	0	3	0	60	0	2	3	0	0	0	206	38	0	8	0	74	0	0	0	0	4	0	0	0	11	0	0	1	0	0	53	0	10	0	27	0	0	80	1	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	7	0	0	28	0	0	0	0	0	7	0	3	0	53	13	1	0	0	0	0	0	0	0	0	0	24	0	5	0	1	0	0	0	0	3	0	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria	822	1808	1561	3488	1026	2406	4803	539	1094	5718	1030	1738	3444	2752	3721	2866	4023	2025	11251	2254	499	3762	1139	1371	3039	901	14518	17297	1328	2028	10086	3773	9948	1116	3545	4873	6868	3358	2407	16320	1197	2072	3424	1230	1213	2385	16462	9712	2100	1550	5592	2072	9443	2711	3807	860	5147	561	1700	16680	2463	3131	2902	8788	19047	1205	2381	1055	1023	4114	4253	4717	12488	205	2142	3275	8075	1362	2087	2882	8557	2419	12311	13354	19529	3489	15666	1617	6000	2269	2611	4817	854	12392	2473	6686	2809	493	6792	2927	556	6065	3355	589	2032	792	9138	9542	5121	3082	5097	1521	2938	2906	11190	14392	1415	975	4935	6842	3762	7024	2389	1307	2641	417	1100	1567	15769	2020	8754	2694	1151	2352	925	3186	936	4696	3576	8293	2405	448	786	137	8672	1412	5368	5443	9006	746	3292	2410	11272	3166	7785	4410	3138	6380	15970	193	1473	1021	14836	1594	8596	725	3707	2912	1558	8833	1393	183	1493	631	12935	4953	1430	4116	647	5204	1046	1895	1078	2648	3211	2490	637	2165	904	562	271	412	1631	792	1358	3865	799	14542	876	3407	6294	1948	2035	2152	1438	1186	6036	892	1029	4316	5880	2014	1195	6686	2039	251	446	1594	14302	1212	6566	401	1019	1301	1411	5081	15970	3757	935	3538	5148	4729	1908	6638	14574	1893	3827	938	604	3055	4736	7333	81	7474	2083	773	2218	1944	1409	1418	1181	14118	60	276	959	259	1013	695	1679	377	390	966	1747	776	9102	256	1069	1137	4479	4118	2020	708	735	864	3274	9278	8085	2399	3096	1583	14763	705	590	1789	2490	1184	2447	769	3329	552	527	4170	756	415	14832	523	481	482	576	601	906	635	4217	2034	627	1482	1029	2098	488	1369	3865	6889	6008	926	3314	7273	653	1055	560	448	571	480	701	1101	4393	887	716	1157	1797	1440	619	166	548	1420	1107	457	77	701	713	420	4585	1809	5673	3534	722	285	889	1795	476	912	1599	2597	4558	989	373	664	7413	9318	713	524	771	444	2312	3404	494	7295	246	476	1234	1063	411	3133	510	242	0	15	16
k__Bacteria;p__Spirochaetes	0	0	0	2	0	0	0	53	3	153	0	1	121	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2169	1	487	0	0	1	0	0	0	2	0	2	0	3530	0	0	0	1	0	0	0	0	0	85	314	0	0	0	0	0	4	0	0	0	664	0	0	0	3	0	0	420	167	3	0	6227	1	2	0	1	0	2	57	0	0	0	6	0	556	0	915	1234	0	43	3798	0	1	223	0	5786	1086	0	0	92	15	0	0	1	0	1	0	1	0	0	1	0	75	148	0	0	0	0	225	0	0	0	0	0	0	1804	0	0	21	0	0	0	3	0	43	1	229	0	0	0	0	1	0	0	84	0	0	0	0	0	0	41	0	1	3	0	0	0	0	1572	0	1	0	0	0	242	1	0	0	0	0	0	0	1	264	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	2	0	2	6102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	154	0	0	1	0	7563	0	10	0	0	294	0	0	0	0	0	0	0	0	0	179	0	0	1	19	0	3	0	0	0	0	168	9	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	65	0	0	9	0	6631	0	0	16	0	0	1	0	2	6967	15	254	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	349	0	0	0	9	0	1	0	0	0	0	5	0	0	0	31	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	1	0	0	1	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Synergistetes	1	4	0	0	9	0	0	69	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	171	26	1	0	3	13	0	0	0	0	3	0	1	2	0	3	10	0	0	1	0	2	76	0	0	0	205	2	0	0	0	0	0	0	0	0	0	1	0	0	0	30	0	0	8	0	0	0	0	0	2	0	0	0	0	68	0	0	46	31	0	0	0	0	12	7	0	14	0	1	0	0	2	0	2	0	0	21	2	0	0	0	4	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	2	0	4	0	2	8	61	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	36	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0	1	0	2	0	0	0	0	0	4	0	4	0	0	0	0	1	2	3	0	0	0	0	0	5	4	0	0	0	0	12	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0	0	0	15	0	0	0	0	1	3	0	17	0	0	0	0	0	0	4	7	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	8	58	0	0	7	0	0	0	0	0	0	0	22	0	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	3	0	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	2	3	0	7	0	0	0	0	0	0	0	24	0	0	6	0	19	0	0	6	0	0	0	0	0	0	0
k__Bacteria;p__Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	11	37	0	0	0	0	0	22	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Verrucomicrobia	2997	2	0	0	56	0	39	1491	194	0	87	0	0	30	1	2	0	1	0	29	0	212	0	0	1	72	608	0	0	1	251	1	14	0	92	0	0	0	1078	0	1322	0	433	1	21	34	1	0	4	199	0	157	0	295	168	85	36	36	736	0	15	458	1	1	4614	510	0	1	3	28	467	2	158	0	0	125	0	18	1401	1	0	6	307	0	0	1545	0	0	0	3	206	1	11	85	19	0	2	0	0	1	255	0	0	43	2	1	7	1	0	0	0	0	204	9	0	24	1	0	0	0	385	1	1986	1	268	46	0	1944	1	6624	52	1791	0	38	8	517	0	301	6	0	1503	21	65	96	10	1	30	0	0	3559	112	642	0	3	73	0	852	0	0	7	0	31	1	1	0	403	0	0	245	392	100	28	1336	0	1	1	3	0	4	7	0	3	314	1	0	1	17	7	0	219	163	6	151	4	0	6	4	1	306	488	0	36	13	0	302	0	0	12	0	0	1	1515	2	0	0	1	0	0	0	149	4	91	0	0	4	0	0	0	16	1	0	5834	0	0	0	1	92	4	33	291	1	2	4	0	2	60	0	1	0	365	1	10	1	1	0	0	4	38	20	2	0	51	425	50	2	11	224	0	0	0	0	20	10	0	652	1655	37	11	42	0	0	319	1	292	0	6	1	3	0	7	100	3150	0	0	0	2	0	11	96	37	1	1011	1	1	0	1	17	428	5186	0	0	8	334	0	0	157	22	0	0	360	0	0	0	5	333	0	524	0	16	1	85	14	120	226	43	55	66	0	0	2	0	8	0	0	0	0	289	4	42	0	6	37	22	665	0	7	0	0	7	5	12	150	0	425	0	0	1	0	1	66	4	0	0	0	0	0	0
Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
