	PD_whole_tree	chao1	observed_otus
CS.229	32.69694	472.0	472.0
CS.231	34.91254	512.0	512.0
CS.232	48.01775	639.0	639.0
CS.233	38.93639	472.0	472.0
CS.235	41.88373	578.0	578.0
CS.236	26.9212	302.0	302.0
CS.237	35.38437	463.0	463.0
CS.238	40.73718	545.0	545.0
CS.239	40.14356	535.0	535.0
CS.240	35.98405	485.0	485.0
CS.241	41.01153	535.0	535.0
CS.247	38.83985	523.0	523.0
CS.248	40.14851	604.0	604.0
CS.249	34.97195	490.0	490.0
CS.251	33.05613	420.0	420.0
CS.284	32.64488	475.0	475.0
CS.285	27.66165	391.0	391.0
CS.286	32.57179	431.0	431.0
CS.292	39.90013	559.0	559.0
CS.298	38.38785	532.0	532.0
CS.308.0	29.63808	403.0	403.0
CS.311	31.90604	429.0	429.0
CS.312	34.31856	497.0	497.0
CS.345.0	22.89069	275.0	275.0
CS.346	25.3191	323.0	323.0
CS.347.0	29.73912	409.0	409.0
L.001.M1	31.58172	340.0	340.0
L.002.M1	28.38604	407.0	407.0
L.003.M1	21.10161	278.0	278.0
L.011.M1	39.64869	589.0	589.0
L.022.M1	42.57197	524.0	524.0
L.024.M1	33.24193	392.0	392.0
CS.137	23.67816	267.0	267.0
CS.138	44.13324	716.0	716.0
CS.139	29.7079	477.0	477.0
CS.140	48.23255	764.0	764.0
CS.141	43.1558	625.0	625.0
CS.142	39.86418	624.0	624.0
CS.151	39.64689	589.0	589.0
CS.155	48.54076	735.0	735.0
CS.159	43.933	675.0	675.0
CS.174	48.1061	726.0	726.0
CS.188	34.85353	567.0	567.0
CS.190	44.84633	651.0	651.0
CS.191	44.48003	639.0	639.0
CS.193	38.64182	608.0	608.0
CS.194	30.42119	477.0	477.0
CS.196	34.81943	515.0	515.0
CS.198	38.1754	572.0	572.0
CS.203	39.14504	593.0	593.0
CS.205	32.09101	495.0	495.0
CS.213	31.57559	499.0	499.0
CS.222	28.11605	414.0	414.0
CS.224	24.57795	365.0	365.0
CS.230	29.51955	416.0	416.0
CS.259	44.555	643.0	643.0
CS.260	37.00907	532.0	532.0
CS.269	23.81064	307.0	307.0
CS.274	36.70307	573.0	573.0
CS.275	43.11801	685.0	685.0
CS.282	35.76559	553.0	553.0
CS.283	29.3603	394.0	394.0
CS.290	37.05747	612.0	612.0
CS.293	44.56928	643.0	643.0
CS.294	17.49831	165.0	165.0
CS.295	39.98511	599.0	599.0
CS.296	46.35291	677.0	677.0
CS.297	44.17568	667.0	667.0
CS.300	44.56938	701.0	701.0
CS.301	47.11443	760.0	760.0
CS.302	27.97464	400.0	400.0
CS.305	50.80001	769.0	769.0
CS.318	39.36423	642.0	642.0
CS.319	36.72101	605.0	605.0
CS.321	36.92377	516.0	516.0
CS.322	36.07533	591.0	591.0
CS.325	24.31396	396.0	396.0
CS.328	16.98009	199.0	199.0
CS.332	41.67318	623.0	623.0
CS.333	39.41399	667.0	667.0
CS.334	35.16462	558.0	558.0
CS.335	26.63942	402.0	402.0
CS.339	30.63689	442.0	442.0
CS.341	37.91732	626.0	626.0
CS.343	36.77573	624.0	624.0
CS.350	40.76585	606.0	606.0
CS.351	43.45759	726.0	726.0
CS.356	29.84304	417.0	417.0
CS.357	40.9677	589.0	589.0
CS.358	25.37618	396.0	396.0
CS.360	39.48376	617.0	617.0
CS.362	35.04562	522.0	522.0
CS.365	38.17459	544.0	544.0
CS.366	27.92582	399.0	399.0
CS.379	32.03911	507.0	507.0
CS.380	48.44416	761.0	761.0
CS.382	41.09973	697.0	697.0
CS.388	27.08582	403.0	403.0
IMP000.L.T02	45.19398	748.0	748.0
IMP000.L.T03	39.81587	661.0	661.0
IMP000.L.T04	40.72079	645.0	645.0
IMP000.L.T05	43.65637	719.0	719.0
IMP000.L.T06	44.64867	730.0	730.0
IMP000.L.T09	39.71917	662.0	662.0
IMP000.L.T10	42.62528	707.0	707.0
IMP000.L.T17	40.14322	634.0	634.0
IMP000.L.T18	39.45395	632.0	632.0
IMP000.L.T19	39.54038	631.0	631.0
IMP000.L.T20	42.66903	663.0	663.0
IMP000.L.T26	21.90885	280.0	280.0
IMP000.L.T27	38.58982	622.0	622.0
IMP000.L.T28	41.84569	667.0	667.0
IMP000.L.T29	44.02708	696.0	696.0
IMP000.L.T30	38.56256	627.0	627.0
IMP000.L.T36	39.93283	615.0	615.0
IMP000.L.T37	37.80108	585.0	585.0
IMP000.L.T38	38.50743	616.0	616.0
IMP000.L.T39	39.95485	654.0	654.0
IMP000.L.T40	37.33592	598.0	598.0
L.004.M1	48.31196	692.0	692.0
L.004.M2	45.34998	611.0	611.0
L.004.M3	50.20095	714.0	714.0
L.004.M4	50.90734	790.0	790.0
L.004.M5	46.93779	662.0	662.0
L.004.M6	46.90184	686.0	686.0
L.005.M1	41.42494	624.0	624.0
L.005.M2	44.04754	661.0	661.0
L.005.M3	44.48838	641.0	641.0
L.005.M4	45.54517	667.0	667.0
L.005.M5	42.68106	618.0	618.0
L.005.M6	40.09075	559.0	559.0
L.006.M1	41.52235	583.0	583.0
L.006.M2	44.89454	624.0	624.0
L.006.M3	49.03857	723.0	723.0
L.006.M4	45.93829	652.0	652.0
L.006.M5	50.24939	752.0	752.0
L.006.M6	58.13632	877.0	877.0
L.007.M1	44.73366	657.0	657.0
L.007.M2	51.82413	764.0	764.0
L.007.M4	49.70259	705.0	705.0
L.007.M5	52.91784	748.0	748.0
L.007.M6	54.31969	777.0	777.0
L.008.M1	33.24987	521.0	521.0
L.008.M2	31.75356	430.0	430.0
L.008.M3	27.34129	401.0	401.0
L.008.M4	41.46172	668.0	668.0
L.008.M5	43.15601	693.0	693.0
L.008.M6	38.25575	609.0	609.0
L.012.M1	40.31795	572.0	572.0
L.012.M2	41.29327	562.0	562.0
L.012.M3	42.51754	596.0	596.0
L.012.M4	40.00929	544.0	544.0
L.012.M5	43.9836	637.0	637.0
L.012.M6	42.66589	602.0	602.0
L.025.M1	29.68718	387.0	387.0
L.025.M2	34.30041	559.0	559.0
L.025.M3	36.25515	602.0	602.0
L.025.M4	35.79831	587.0	587.0
L.025.M5	39.45068	670.0	670.0
L.025.M6	40.07895	656.0	656.0
T.CS.003	46.46741	714.0	714.0
T.CS.004	41.08078	650.0	650.0
T.CS.007	37.01519	548.0	548.0
T.CS.008	33.25995	521.0	521.0
T.CS.009	46.20024	649.0	649.0
T.CS.013	42.15718	668.0	668.0
T.CS.014	41.93624	608.0	608.0
T.CS.018	41.66752	663.0	663.0
T.CS.020	46.61277	610.0	610.0
T.CS.023	24.22092	293.0	293.0
T.CS.030	36.04841	562.0	562.0
T.CS.042	49.21686	739.0	739.0
T.CS.043	39.62231	601.0	601.0
T.CS.045	36.84093	513.0	513.0
T.CS.047	43.93385	713.0	713.0
T.CS.049	39.40634	643.0	643.0
T.CS.051	44.32165	641.0	641.0
T.CS.061	40.56821	638.0	638.0
T.CS.065	42.73689	643.0	643.0
T.CS.067	41.27415	640.0	640.0
T.CS.069	48.11626	766.0	766.0
T.CS.070	41.58579	619.0	619.0
T.CS.071	48.58696	758.0	758.0
T.CS.073	47.35346	740.0	740.0
T.CS.081	44.6577	732.0	732.0
T.CS.084	36.17613	589.0	589.0
T.CS.087	34.15549	521.0	521.0
T.CS.088	36.22775	557.0	557.0
T.CS.089	42.77138	644.0	644.0
T.CS.090	30.47834	372.0	372.0
T.CS.092	45.12742	641.0	641.0
T.CS.093	45.44663	647.0	647.0
T.CS.094	38.9261	549.0	549.0
T.CS.095	47.02763	661.0	661.0
T.CS.096	44.29839	592.0	592.0
T.CS.097	43.85396	611.0	611.0
T.CS.098	46.43689	624.0	624.0
T.CS.099	46.14654	634.0	634.0
T.CS.100	43.77362	595.0	595.0
T.CS.133	54.07571	815.0	815.0
T.CS.134	43.28027	607.0	607.0
T.CS.135	38.28675	612.0	612.0
T.CS.136	41.8742	633.0	633.0
T.CS.137	47.43908	594.0	594.0
T.CS.138	49.14112	719.0	719.0
T.CS.139	52.93284	807.0	807.0
T.CS.140	43.46825	687.0	687.0
T.CS.141	35.03649	518.0	518.0
T.CS.142	36.5475	558.0	558.0
T.CS.143	45.90003	730.0	730.0
T.CS.144	43.01499	634.0	634.0
T.CS.146	43.57318	674.0	674.0
T.CS.147	47.7163	675.0	675.0
T.CS.148	47.60449	707.0	707.0
T.CS.149	43.06255	552.0	552.0
T.CS.150	49.32844	748.0	748.0
T.CS.151	43.91105	678.0	678.0
